I, А&0.40&0.80&1.20&1.60&2.00&2.40&2.00&3.16
\Phi_1, мВб&2.7&3.3&4.1&4.8&5.5&6.1&6.7&7.0
\Phi_0, мВб&1.6&1.4&1.2&1.0&0.9&0.6&0.5&0.2
B, Тл&0.14&0.24&0.37&0.49&0.59&0.71&0.80&0.87
\Delta B, Тл&0.01&0.01&0.01&0.01&0.01&0.01&0.01&0.01
m_{ал}, г&0.5&3.7&7.5&16.4&24.5&33.7&43.4&50.8
P_{ал}, мН&0.025&0.056&0.093&0.181&0.260&0.350&0.445&0.518
m_{м}, г&4.3&3.9&1.5&-2.3&-6.5&-10.9&-15.2&-19.7
P_{м}, мН&0.022&0.026&0.049&0.086&0.128&0.171&0.213&0.257
m_{гр}, г&-5.9&-13.9&-29.2&-49&-69.8&-97.7&-119.6&-147.4
P_{гр}, мН&0.034&0.113&0.263&0.458&0.662&0.936&1.151&1.424
\Delta P&0.002&0.002&0.002&0.002&0.002&0.002&0.002&0.002
B^2, Тл^2&0.020&0.059&0.138&0.237&0.348&0.497&0.642&0.760
\Delta B^2, Тл&0.004&0.006&0.010&0.012&0.015&0.018&0.021&0.022
&&&&&&&&
&&&&&&&&
&&&&&&&&
&0.01&0.01&0.03&&&&&
&0.71&0.35&1.87&&&&&
&0.02272&0.0112&0.13330363109824&&&&&
&0.00032&0.00032&0.00213856092671&&&&&
