$\tau,~\text{мс}$,40,60,80,100,120,140,160,180,200,,,,,,,,,,,
$\Delta \nu,~ Кгц$,24.2,16.2,12.0,9.9,8.4,7.1,6.3,5.5,5.0,,,,,,,,,,,
$\frac{1}{\tau},~\text{кГц}$,25.0,16.7,12.5,10.0,8.3,7.1,6.3,5.6,5.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
,2.82,2.71,2.65,2.53,1.4,2.24,2.07,1.9,1.73,1.58,1.49,1.33,1.18,1,0.82,0.64,0.44,0.28,,
,5.55,5.19,4.69,4.08,2.62,1.87,1.18,0.53,0,0.46,0.82,1.07,1.18,1.16,1.04,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
$\f,~\text{кГц}$,0.5,1,2,4,5,,,,,,,,,,,,,,,
$\Delta \nu,~ Кгц$,0.5,1.01,2,4,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
19.32,19.32,17.32,13.55,7.33,0,8.44,17.77,27.09,36.2,43.75,50.19,54.85,59.46,63.74,69.73,64.4,60.45,55.52,48.64,40.64
0,7.21,27.48,27.07,16.38,0,18.74,34.42,30.45,26.93,0,36.23,72.73,100.8,120.7,134.9,121.6,97.16,63.15,28.18,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2U_\text{мод}, В,0.2,0.5,0.8,1.1,1.4,1.7,2,,,,,,,,,,,,,
$A_\text{max},~\text{В}^2$,1.107,1.245,1.392,1.545,1.688,1.835,1.931,,,,,,,,,,,,,
$A_\text{min},~\text{В}^2$,0.9,0.742,0.615,0.462,0.319,0.157,0,,,,,,,,,,,,,
$A_\text{осн},~\text{В}^2$,0.66,0.66,0.66,0.66,0.66,0.66,0.66,,,,,,,,,,,,,
$A_\text{бок},~\text{В}^2$,0.03,0.08,0.13,0.18,0.23,0.29,0.33,,,,,,,,,,,,,
